entity_1,relationship,entity_2
Ahmad Ballul,Leader or official of,Syrian Air Force
Ahmad Ballul,Leader or official of,Syrian Arab Air Defense Forces
Badi Mualla,Leader or official of,Syrian Air Force
Mustafa Badr Al Din,playing a significant role in,Hizballah
The Eagles L.L.C.,Owned or Controlled By,Abdulkarim Group
The Eagles L.L.C.,Owned or Controlled By,Wael Abdulkarim
Morgan Additives Manufacturing Co.,Owned or Controlled By,Wael Abdulkarim
Abdulkarim Group,Providing support to,Pangates International Corporation Limited
Maxima Middle East Trading Co.,Providing support to,Abdulkarim Group
Maxima Middle East Trading Co.,Providing support to,Pangates International Corporation Limited
Ahmad Barqawi,Acting for or on behalf of,Maxima Middle East Trading Co.
Ahmad Barqawi,Acting for or on behalf of,Pangates International Corporation Limited
Wael Abdulkarim,Acting for or on behalf of,Abdulkarim Group
Wael Abdulkarim,Acting for or on behalf of,Pangates International Corporation Limited
Mikhail Georgievich Gagloev,Acting for or on behalf of,Tempbank
Syrian General Intelligence Branch 251 - Al-Khatib,Owned or Controlled By,Syrian General Intelligence Directorate
Castle Security And Protection Llc,Owned or Controlled By,Khodr Taher Bin Ali
Wassim Al-Assad,Acting for or on behalf of,Syrian Arab Army
Imad Abu Zureik,Acting for or on behalf of,Syrian Military Intelligence Directorate
Khalid Qaddour,Providing support to,Maher Al-Assad
Maya Exchange Company,Providing support to,Central Bank Of Syria
Muhammad 'Ali Al-Minala,Acting for or on behalf of,Central Bank Of Syria
Aleksey Makarov,Providing support to,Central Bank Of Syria
Mount Hebron Fund,Providing support to,Yinon Levi
Shlom Asiraich,Providing support to,David Chai Chasdai
Rosoboroneksport Oao,Owned or Controlled By,State Corporation Rostec
Lehava,Owned or Controlled By,Ben-Zion Gopstein
Reut Ben Haim,Leader or official of,Tzav 9
Meitarim Farm,Owned or Controlled By,Yinon Levi
Hamohoch Farm,Owned or Controlled By,Neriya Ben Pazi
Neriya'S Farm,Owned or Controlled By,Neriya Ben Pazi
Shlomo Yehezkel Hai Sarid,Leader or official of,Tzav 9
